;Hora UTC;PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)
0;0.0;950,7;;19
1;1.0;951;;19,2
2;2.0;950,4;;19,2
3;3.0;949,6;;18,7
4;4.0;948,8;;18,9
5;5.0;948,2;;19,2
6;6.0;947,8;54,4;18,8
7;7.0;947,9;747,3;18,6
8;8.0;948,5;1617,7;18,3
9;9.0;948,9;2121,9;19
10;10.0;949,8;2979,4;20,7
11;11.0;950,1;3658,2;23,2
12;12.0;950,4;3942,8;24,6
13;13.0;950,3;2407,9;26,2
14;14.0;949,7;1824,2;28,3
15;15.0;949;1343,2;28,7
16;16.0;948,1;1563,6;29,1
17;17.0;947,2;518,6;28,6
18;18.0;946,8;143,6;28,7
19;19.0;947,3;42,5;27
20;20.0;946,2;;26,3
21;21.0;947,2;;25,7
22;22.0;947,6;;24
23;23.0;948,8;;22,6
